"MREGON","COMPANY"
"MPOSMX","YTD POS MARK DOWN AT SELL"
"MGENMD","YTD REG MARK UP AT SELL"
"MGENMX","YTD REG MARK DOWN AT SELL"
"MCDCDE","MERCHANDISE PRE-MARKED-Y/N"
"MFLYER","FLYER CODE"
"MCATCH","CATCHWEIGHT FLAG-Y/N"
"MBULKI","BULK ITEM FLAG-Y/N"
"MTKSIZ","TICKET TYPE"
"MSHELF","ITEM RANK"
"MCOMPP","COMPETITIVE PRICE FLAG-Y/N"
"MITYP","ITEM TYPE"
"MPRULE","SET SKU (Y,N, )"
"MICLFG","ICL FLAG"
"MFLG01","REORDER SKU (Y/N)"
"MFLG02","ESO MARKDOWN FLAG"
"MFLG03","UNUSED"
"MVATX","UNUSED"
"MPCT1","UNUSED"
"MPCT2","DEFAULT DUTY PERCENTAGE"
"MPCT3","UNUSED"
"MSTHRU","SELLTHRU DATE"
"MWKSUP","WKS OF SUPPLY"
"MWRKC2","UNUSED"
"MWRKS1","THIS WEEKS SALES AT RETAIL"
"MWRKS2","TOT SALES QTY SINCE LAST INV"
"MWRKS3","UNUSED"
"MWRKS4","COMPONENT QUANTITY"
"MWRKQ1","SET SKU NUMBER"
"MIDSCT","ITEM DISCOUNTABLE ?"
"MEDSCT","EMPLOYEE DISCOUNT ?"
"MCLUBP","CLUB PLAN FLAG"
"MPRQRD","PRICE REQUIRED ?"
"MALPH1","UNUSED"
"MALPH2","UNUSED"
"MALPH3","UNUSED"
"MALPH4","UNUSED"
"MALPH5","UNUSED"
"MALPH6","ESO MIN QTY ON HAND IN SPKS"
"MALPH7","COUNTRY CODE"
"MALPH8","UNUSED"
"MALPH9","UNUSED"
"MRFDT1","RE-ORDER FLAG SET DATE"
"CPCODE","Item Code"
